id;ref address;query;query lon;query lat;result 1;result 2;result 3;result 4;result 5
0;9 rue du commandant rivière, 75008 paris;9 rue du commandant riv;2.308;48.873;9 rue du commandant rivière, 75008 paris;9 rue du commandant rivière, 92150 suresnes;9 rue du commandant rivière, 92700 colombes;9 rue du commandant rivière, 80420 flixecourt;9 rue du commandant rivière, 03170 doyet
1;161 rue de bourgogne, 45000 orléans;161 rue de bour;1.912;47.9;161 rue de bourgogne, 45000 orleans;161 rue du faubourg de bourgogne, 45800 orleans;161 rue porte de bourth, undefined verneuil-sur-avre;161 rue de bourgogne, 03000 yzeure;161 rue de bournoville, 59660 merville
494;boulevard louison bobet, 56170 quiberon;boulevard louison bo;-3.104;47.481;4 boulevard louison bobet, 56170 quiberon;6 boulevard louison bobet, 56170 quiberon;2 boulevard louison bobet, 56170 quiberon;1 boulevard louison bobet, 56170 quiberon;167 boulevard louison bobet, 29470 undefined
495;la cerce, 89200 sauvigny-le-bois;la ce;3.967;47.497;2 hameau de la cerce, 89200 undefined;6 hameau de la cerce, 89200 undefined;1 hameau de la cerce, 89200 undefined;3 rue de la cerce, 89200 undefined;4 rue de la cerce, 89200 undefined
493;29 rue sambre-et-meuse, 75010 paris;29 rue sambre-;2.373;48.875;29 rue de sambre-et-meuse, 75010 paris;;;;
492;5 rue marchand, 91100 corbeil-essonnes;5 rue marc;2.467;48.604;5 rue marchand, 91100 corbeil-essonnes;5 rue marcel paul, 91100 corbeil-essonnes;5 rue marcel aymé, 91450 soisy-sur-seine;5 rue des marcassins, 91070 bondoufle;5 rue pierre marcille, 91070 bondoufle
490;20 rue jules horowitz, 13115 saint paul lès durance;20 rue jules horo;5.734;43.694;20 rue jules horowitz, 13115 undefined;;;;
491;5 rue des vieux moulins, 77100 meaux;5 rue des vieux mou;2.877;48.96;5 rue des vieux moulins, 77100 meaux;5 rue des vieux moulins, 77400 lagny-sur-marne;5 rue des vieux moulins, 02150 sissonne;5 rue des vieux moulins, 59380 warhem;5 rue des vieux moulins, undefined undefined
489;route nationale 96 quartier des vieilles tuileries, 13860 peyrolles-en-provence;route nationale 96 quartier des vieilles tuil;5.599;43.648;;;;;
488;13 rue lagrange, 75005 paris;13 rue lagr;2.348;48.851;13 rue lagrange, 75005 paris;13 rue léo lagrange, 94270 arcueil;13 rue léo lagrange, 93130 noisy-le-sec;13 rue léo lagrange, 93000 bobigny;13 rue de l'agriculture, 92700 colombes
486;28 rue du cardinal lemoine, 75005 paris;28 rue du cardinal lem;2.353;48.848;28 rue du cardinal lemoine, 75005 paris;28b rue du cardinal lemoine, undefined paris;;;
487;8 rue botanique, 49100 angers;8 rue bota;-0.547;47.474;8 rue botanique, 49100 angers;8 rue du jardin botanique, 4000 liege;;;
485;55 boulevard de vaugirard, 75015 paris;55 boulevard de vaug;2.317;48.841;55 boulevard de vaugirard, 75015 paris;55 boulevard pasteur, 75015 paris;55 boulevard du montparnasse, 75006 paris;55 boulevard garibaldi, 75015 paris;55 boulevard raspail, 75006 paris
484;27 boulevard de la république, 71100 chalon-sur-saône;27 boulevard de la répub;4.849;46.783;27 boulevard de la république, 71100 chalon-sur-saône;27 boulevard de la liberté, 71150 chagny;27 boulevard clemenceau, 21200 beaune;27 boulevard saint-cloud, 71670 le creusot;27 boulevard de la libération, 71670 le creusot
483;18 place du château, 17500 jonzac;18 place du châ;-0.432;45.446;18 place de l'église, 33750 saint-germain-du-puch;18 place de l'église, 86160 sommières-du-clain;18 place raoul péret, 86380 vendeuvre-du-poitou;18 place fillaudeau, 17500 jonzac;18 place du château, 17500 jonzac
482;place maurice faure, 26100 romans-sur-isère;place maurice fa;5.049;45.043;14 place maurice faure, 26100 romans-sur-isère;16 place maurice faure, 26100 romans-sur-isère;18 place maurice faure, 26100 romans-sur-isère;12 place maurice faure, 26100 romans-sur-isère;13 place maurice faure, 26100 romans-sur-isère
481;10-12 boulevard maréchal foch, 21200 beaune;10-12 boulevard maréchal fo;4.836;47.027;10-12 boulevard jules verne, 44300 nantes;10-12 boulevard terrace, 02135 boston;#10-12 boulevard saint-joseph, undefined montreal;10-12 broadway boulevard, 3024 undefined;10-12 sherebrooke boulevard, 5162 woodcroft
480;275 route de saint antoine ginestière, 06200 nice;275 route de saint antoine gines;7.217;43.707;;;;;
479;27 grand rue, 34700 lodève;27 grand r;3.32;43.731;27 grand route, 34650 lunas;27 grand rue, undefined pérols;27 grand rue, undefined soual;27 rue grand chemin, 12230 undefined;27 grand' rue, 26700 pierrelatte
478;46 rue de la balance, 84000 avignon;46 rue de la bal;4.806;43.952;46 rue de la balance, 84000 avignon;46 rue de la balme, 69003 lyon;46 rue de la balistrerie, 25250 l’isle-sur-le-doubs;46 rue de la baltique, 51100 reims;46 rue de la balsamine - balsamienstraat, undefined brussel
477;route de manosque, 84240 la bastide-des-jourdans;route de mano;5.64;43.786;8 route de manosque, 84240 undefined;3 route de manosque, 84240 undefined;5 route de manosque, 84240 undefined;7 route de manosque, 84240 undefined;9 route de manosque, 84240 undefined
476;1 rue du faubourg saint-antoine, 75011 paris;1 rue du faubourg saint-;2.371;48.853;1 rue du faubourg saint-denis, 75010 paris;1 rue du faubourg saint-antoine, 75011 paris;1 rue du faubourg saint-martin, 75010 paris;1 rue du faubourg saint-jacques, 75014 paris;1 rue du faubourg saint-honoré, 75008 paris
475;12 rue dante, 06000 nice;12 rue da;7.254;43.696;12 rue dante, 06000 nice;12 rue dalpozzo, 06000 nice;12 rue d'angleterre, 06000 nice;12 rue d'alsace-lorraine, 06000 nice;12 rue édouard dalmas, 06100 nice
474;2 rue jean corringer, 91270 vigneux-sur-seine;2 rue jean corr;2.423;48.706;2 rue jean corringer, 91270 montgeron;2 rue jean corroyer, 60250 mouy;2 rue jean corroyer, 60600 fitz-james;2 rue jean corre, 29470 plougastel-daoulas;2 rue jean baptiste le corre, 22810 plounévez-moëdec
473;12 quai des célestins, 75004 paris;12 quai des céle;2.361;48.852;12 quai des célestins, 75004 paris;;;;
472;7 rue de la duchesse d'uzès, 51480 boursault;7 rue de la duchesse d'u;3.847;49.06;7 rue de la duchesse d'uzès, 51480 undefined;7 rue de la duchesse d'uzès, 02160 undefined;7 rue de la duchesse de chartres, 60500 vineuil-saint-firmin;7 rue de la duchesse d'angoulême, 78630 orgeval;7 rue de la duchesse d'uzès, 78120 rambouillet
471;46 passage clemenceau, 03200 vichy;46 passage cleme;3.423;46.125;46 passage clemenceau, 03200 vichy;;;;
470;251 rue gallieni, 92100 boulogne-billancourt;251 rue gall;2.227;48.835;251 rue gallieni, 92100 boulogne-billancourt;251 rue jules gallois, 59720 louvroil;251 rue de gallichan, j8r 0h1 gatineau;;
469;le moulin, 12320 conques;le mou;2.441;44.581;5029 le moulin neuf, 12320 undefined;5030 le moulin neuf, 12320 undefined;5196 le moulin neuf, 12320 undefined;5008 le moulin neuf, 12320 undefined;2 le moulin neuf, 12320 undefined
468;7 rue brochant, 75017 paris;7 rue broc;2.317;48.888;7 rue brochant, 75017 paris;7 rue broca, 75005 paris;7 rue léon brochet, 93240 stains;7 rue henri brochard, 95580 margency;7 rue de broceliande, 95350 saint-brice-sous-forêt
467;4 rue violet, 75015 paris;4 rue vio;2.295;48.85;4 rue violet, 75015 paris;4 rue des violettes, 92220 bagneux;4 rue violette, 92340 bourg-la-reine;4 rue des violettes, 92500 rueil-malmaison;4 rue des violettes, 92370 chaville
466;9 place des martyrs de la résistance, 33340 lesparre-médoc;9 place des martyrs de la résis;-0.945;45.304;9 place jean moulin, 17730 port-des-barques;9 place de la république, 17730 port-des-barques;9 place léonce vieljeux, 17730 port-des-barques;9 place du puits, 17100 undefined;9 place françois favreau, 85540 saint-avaugourd-des-landes
465;27 rue thiers, 08600 givet;27 rue thi;4.826;50.138;27 rue thiers, 08600 givet;27 rue eugène thibaut, 5000 namur;27 rue thiers, 02830 saint-michel;27 rue devant thimont, undefined undefined;27 rue de thin, 08460 signy-l'abbaye
463;43 rue du général de gaulle, 67110 niederbronn-les-bains;43 rue du général de gau;7.646;48.95;43 rue du général de gaulle, 67110 niederbronn-les-bains;43 rue du général de gaulle, 67360 gunstett;43 rue du général de gaulle, 67590 schweighouse-sur-moder;43 rue du général de gaulle, 67500 niederschaeffolsheim;43 rue du général de gaulle, 67170 geudertheim
464;7 place surian, 06140 vence;7 place sur;7.114;43.722;7 place maximin escalier, 06140 tourrettes-sur-loup;7 place de la libération, 06140 tourrettes-sur-loup;7 place jean-françois soulier, 06620 le bar-sur-loup;7 place de la tour, 06620 le bar-sur-loup;7 place félix poullan, 06230 villefranche-sur-mer
462;8 rue amédée bolle, 68127 sainte-croix-en-plaine;8 rue amédée bo;7.377;48.017;8 rue amédée bolle, 68127 sainte-croix-en-plaine;8 rue amedee bollee, 68127 sainte-croix-en-plaine;8 rue amédée bonnet, 01500 ambérieu-en-bugey;8 rue amédée bonnet, 69006 lyon;8 rue amédée bollée, 94320 thiais
461;58 rue du maréchal foch, 59120 loos;58 rue du maréchal fo;3.018;50.615;58 rue du maréchal foch, 59120 loos;58 rue du maréchal foch, 59160 lille;58 rue du maréchal foch, 59211 santes;58 rue du maréchal foch, 59790 lille;58 rue du maréchal foch, 59350 saint-andré-lez-lille
459;117 rue monge, 75005 paris;117 rue mo;2.351;48.839;117 rue monge, 75005 paris;117 rue mouffetard, 75005 paris;117 rue montmartre, undefined paris;117 rue des morillons, 75015 paris;117 rue de montreuil, 75011 paris
460;15 avenue de saria, 77700 serris;15 avenue de sa;2.791;48.842;15 avenue de saria, 77700 serris;15 avenue christian doppler, 77700 undefined;15 avenue des frênes, 77144 undefined;15 avenue de la jonchère, 77600 chanteloup-en-brie;15 avenue du chêne saint-fiacre, 77600 undefined
458;3 rue du port, 50100 cherbourg-en-cotentin;3 rue du po;-1.622;49.64;3 rue du poitou, 50130 cherbourg-octeville;3 rue du pontil, 50470 undefined;3 rue du port, 50440 undefined;3 rue du pourquoi pas, 50130 équeurdreville;3 rue du port, 50550 saint-vaast-la-hougue
457;5 grand rue, 68280 logelheim;5 grand r;7.408;48.021;5 grand' rue, 68320 grussenheim;5 grand rue, undefined aspach-le-haut;5 grand rue, undefined zillisheim;5 gr grand rue, undefined sundhoffen;5 gr grand rue, undefined andolsheim
456;33 rue de la borie, 19300 égletons;33 rue de la bo;2.047;45.401;33 rue de la borie, 19300 égletons;33 rue de la borde, 19260 treignac;33 rue de la bouyssonnière, 19200 ussel;33 rue de la combe aux boeufs, 87130 châteauneuf-la-forêt;33 rue de la boucherie, 87000 limoges
455;43 avenue de la gare, 24200 sarlat-la-canéda;43 avenue de la ga;1.219;44.878;43 avenue de la gare, 24200 sarlat-la-canéda;43 avenue de la caneda, 24200 sarlat-la-canéda;43 avenue de selves, 24200 sarlat-la-canéda;43 avenue de la forge, 24620 les eyzies-de-tayac-sireuil;43 avenue de la préhistoire, 24620 les eyzies-de-tayac-sireuil
454;6 rue etienne marcel, 75002 paris;6 rue etienne mar;2.35;48.864;6 rue etienne marcel, 75002 paris;6 rue étienne marcel, undefined paris;6 rue étienne marey, 75020 paris;6 rue etienne marcel, 93500 pantin;6 rue étienne marcel, 93500 pantin
453;27 avenue armand guillebaud, 92160 antony;27 avenue armand guill;2.307;48.749;27 avenue armand guillebaud, 92160 antony;27 avenue du 11 novembre, 92160 antony;27 avenue des giroflées, 92160 antony;27 avenue rené morin, 92160 antony;27 avenue jules ferry, 92160 antony
452;90 cours de vincennes, 75012 paris;90 cours de vinc;2.407;48.847;90 cours de vincennes, 75012 paris;;;;
451;132 rue lecourbe, 75015 paris;132 rue leco;2.301;48.842;132 rue lecourbe, 75015 paris;132 rue de l'école, 60130 undefined;132 rue gustave lecomte, 76350 oissel;132 rue robert lecoq, undefined amiens;132 rue lucien lecointe, 80080 amiens
450;20 place charles de gaulle, 78100 saint-germain-en-laye;20 place charles de gau;2.095;48.897;20 place charles de gaulle, 78100 saint-germain-en-laye;20 place françois 1er, 78100 saint-germain-en-laye;20 place de palfour, 78360 montesson;20 place du marché, 78110 le vésinet;20 place du marche, 78110 le vésinet
449;168 cours berriat, 38000 grenoble;168 cours ber;5.705;45.189;168 cours berriat, 38000 grenoble;;;;
448;30 passage de la bourgade, 06410 biot;30 passage de la bour;7.097;43.628;30 passage de la bourgade, 06410 biot;;;;
447;37 6-39 rue pierre-henri mauger, 41700 contres;37 6-39 rue pierre-henri mau;1.429;47.419;;;;;
446;43 rue castillon, 83000 toulon;43 rue cast;5.94;43.11;43 rue castillon, 83000 toulon;43 rue de castellas, 83200 undefined;43 rue castil blaze, 84300 cavaillon;43 rue du bas castelet, 06600 antibes;43 rue lou castel, 34160 castries
445;36 rue de bagnolet, 75020 paris;36 rue de bagn;2.398;48.857;36 rue de bagnolet, 75020 paris;36 rue de bagneux, 92330 sceaux;36 rue de bagneaux, 77720 mormant;36 rue de bagneaux, 77140 bagneaux-sur-loing;36 rue de bagneaux, 45140 saint-jean-de-la-ruelle
444;22 place henri brousse, 92190 meudon;22 place henri bro;2.241;48.808;22 place aimé césaire, 92140 clamart;22 place marcel pagnol, 92100 boulogne-billancourt;22 place abel gance, 92100 boulogne-billancourt;22 place des alliés, 92350 le plessis-robinson;22 place jean jaurès, 92120 montrouge
443;38 rue de cambrai, 59000 lille;38 rue de cam;3.071;50.624;38 rue de cambrai, 59000 lille;38 rue camille desmoulins (hellemmes), 59260 lille;38 rue camille desmoulins 59000 lille, 59260 lille;38 rue des camélias, 59390 lys-lez-lannoy;38 rue de la grande campagne/rue grande campagne, 59242 templeuve
442;2 rue ramey, 75018 paris;2 rue ra;2.348;48.887;2 rue ramey, 75018 paris;2 rue ravignan, 75018 paris;2 rue raymond radiguet, 75019 paris;2 rue rameau, 75002 paris;2 rue raspail, 93400 saint-ouen
441;3 rue des faussets, 33000 bordeaux;3 rue des faus;-0.57;44.841;3 rue des faussets, 33000 bordeaux;3 rue des fausses, 69970 marennes;3 rue des fausses-brayes, 2000 neuchatel;3 rue des fausses braies, 08200 sedan;
440;8 rue majour, 19100 brive-la-gaillarde;8 rue maj;1.532;45.16;8 rue majour, 19100 brive-la-gaillarde;8 rue du majou, 46300 gourdon;8 rue du majoral fournier, 24750 champcevinel;8 rue du majoral fournier, 24190 neuvic;8 rue du majoral fournier, 24100 bergerac
439;3 rue basse, 78480 verneuil-sur-seine;3 rue ba;1.976;48.981;3 rue basse, 78480 verneuil-sur-seine;3 rue de bazincourt, 78480 verneuil-sur-seine;3 rue bathilde pigeon, 78570 chanteloup-les-vignes;3 rue maryse bastié, 95280 jouy-le-moutier;3 rue du barreau, 95280 jouy-le-moutier
438;4 cours jean jaurès, 38000 grenoble;4 cours jean jau;5.72;45.192;4 cours jean jaurès, 38000 grenoble;4 cours jean jaurès, 38130 échirolles;4 cours jean jaurès, 84600 valréas;4 cours jean jaurès, 84500 bollène;4 cours jean jaurès, 13560 sénas
437;2 place de la chapelle neuve, 34000 montpellier;2 place de la chapelle ne;3.879;43.613;2 place de la chapelle neuve, 34000 montpellier;2 place pétrarque, 34000 montpellier;2 place du marche aux fleurs, 34000 montpellier;2 place jean jaurès, 34000 montpellier;2 place des beaux-arts, 34090 montpellier
436;lieu dit 'la fabrègues', 12190 estaing;lieu dit 'la fabrè;2.695;44.545;;;;;
435;29 rue de l'exposition, 75007 paris;29 rue de l'expo;2.303;48.857;29 rue de l'exposition, 75007 paris;;;;
434;153 rue de lourmel, 75015 paris;153 rue de lou;2.284;48.84;153 rue de lourmel, 75015 paris;153 rue de la fosse aux loups, 45770 saran;153 rue de la mare aux loups, 76160 undefined;153 rue louis victor de broglie, 51430 undefined;153 rue du dernier loup, 76890 undefined
433;40 route de frangy, 74960 meythet;40 route de fra;6.092;45.915;40 route de frangy, 74960 meythet;40 route de frangy, 74580 viry;40 route des franchises, 1203 geneva;40 route de france, 74140 veigy-foncenex;40 route de france, 1264 undefined
432;10 rue des tonneliers, 64100 bayonne;10 rue des tonne;-1.474;43.49;10 rue des tonneliers, 64100 bayonne;10 rue des tonnes, 40600 biscarrosse;10 rue des tonneliers, 33870 vayres;10 rue des tonnelles, 31170 tournefeuille;10 rue des tonneaux, 17520 undefined
431;58 rue vasco de gama, 75015 paris;58 rue vasco de ga;2.284;48.836;58 rue vasco de gama, 75015 paris;;;;
430;2 place de lisbonne - centre commercial odysseum, 34000 montpellier;2 place de lisbonne - centre commercial odys;3.92;43.605;2 place de lisbonne, 34000 montpellier;2 place marcel legaut, 34070 montpellier;2 place henri auge, 34970 undefined;2 place des pastels, 34070 montpellier;2 place des chevreuils, 34000 montpellier
429;602 rue louis saint-just, 60740 saint-maximin;602 rue louis saint;2.472;49.245;602 rue louis saint-just, 60740 creil;;;;
428;104 rue de lille, 59420 mouvaux;104 rue de li;3.132;50.699;104 rue de lille, 59420 mouvaux;104 rue de lille, 59200 tourcoing;104 rue de lille, 59100 roubaix;104b rue de lille, 59200 tourcoing;104 rue de lille, 59290 wasquehal
