id;ref address;query;query lon;query lat;result 1;result 2;result 3;result 4;result 5;
0;9, rue du commandant rivière, paris;9 rue du commandant riv;2.308;48.873;9 rue du commandant rivière, paris;;;;;
1;161 rue de bourgogne, orléans;161 rue de bour;1.912;47.9;161 rue de bourgogne, orleans;;;;;
2;17 rue pierre bouvier, fontaines-sur-saône;17 rue pierre bou;4.849;45.834;17 rue pierre bouvier, fontaines-sur-saône;;;;;
3;442 rue de lille, roncq;442 rue de li;3.122;50.767;442 rue de lille, halluin;;;;;
4;7, route du pontel, jouars-pontchartrain;7 route du pon;1.9;48.803;7 route du pontel, pontchartrain;;;;;
5;9 rue henri drussy, blois;9 rue henri dru;1.336;47.587;9 rue henri drussy, blois;;;;;
6;75 av. des champs-élysées, paris;75 av. des champs-;2.303;48.871;75 avenue des champs élysées, paris;;;;;
7;boulevard des pyrénées, oloron-sainte-marie;boulevard des pyré;-0.62;43.191;9 boulevard des pyrénées, oloron-sainte-marie;11 boulevard des pyrénées, oloron-sainte-marie;10 boulevard des pyrénées, oloron-sainte-marie;8 boulevard des pyrénées, oloron-sainte-marie;7 boulevard des pyrénées, oloron-sainte-marie;
8;1 avenue de l'industrie, rebais;1 avenue de l'ind;3.239;48.851;1 avenue de l'industrie, rebais;;;;;
9;51, rue du général de gaulle, kirchheim;51 rue du général de gau;7.494;48.608;51 rue du général de gaulle, marlenheim;;;;;
10;25 avenue de villeneuve saint-georges, choisy-le-roi;25 avenue de villeneuve saint-;2.416;48.765;25 avenue de villeneuve-saint-georges, choisy-le-roi;25 avenue victor hugo, choisy-le-roi;25 avenue des chalets, choisy-le-roi;25 avenue d'alfortville, choisy-le-roi;25 avenue du docteur charcot, choisy-le-roi;
11;17 rue barbès, ivry-sur-seine;17 rue bar;2.373;48.817;17 rue barbès, ivry-sur-seine;;;;;
12;6 allée megevie, gradignan;6 allée meg;-0.641;44.774;6 allée megevie, gradignan;;;;;
13;29, route de banyuls, portvendres;29 route de ban;3.109;42.513;29 route de banyuls, undefined;;;;;
14;3, rue raymond grimaud, blagnac;3 rue raymond gri;1.375;43.639;3 rue raymond grimaud, blagnac;;;;;
15;11, rue de la devise, bordeaux;11 rue de la dev;-0.571;44.84;11 rue de la devise, bordeaux;;;;;
16;48 rue monsieur le prince, paris;48 rue monsieur le pri;2.34;48.848;48 rue monsieur le prince, paris;;;;;
17;66 rue de bonnel, lyon;66 rue de bon;4.85;45.762;66 rue de bonnel, lyon;;;;;
18;62, rue pergolèse, paris;62 rue perg;2.281;48.873;62 rue pergolèse, paris;;;;;
19;18, rue du faubourg-de-saverne, strasbourg;18 rue du faubourg-;7.74;48.586;;;;;;
20;1 rue jean bologne, paris;1 rue jean bol;2.28;48.857;1 rue jean bologne, paris;;;;;
21;col de l'encrenaz, la côte-d&#39;arbroz;col de l'enc;6.63;46.171;;;;;
22;10, rue rougemont, paris;10 rue roug;2.346;48.872;10 rue rougemont, paris;10 rue de la boule rouge, paris;;;;
23;1 rue legrand, malakoff;1 rue leg;2.304;48.824;1 rue legrand, malakoff;;;;;
24;8, boulevard du maréchal joffre, rueil-malmaison;8 boulevard du maréchal jof;2.183;48.879;8 boulevard du maréchal joffre, rueil-malmaison;8 boulevard du maréchal foch, rueil-malmaison;8 boulevard de l'hôpital stell, rueil-malmaison;8 boulevard solférino, rueil-malmaison;8 boulevard du général de gaulle, rueil-malmaison;
25;13 rue royale, annecy;13 rue roy;6.123;45.9;13 rue royale, annecy;;;;;
26;4 chemin des pierres de moulin, le rouret;4 chemin des pierres de mou;7.006;43.675;4 chemin des pierres de moulin, saint-pons;;;;;
27;9 rue de crussol, paris;9 rue de cru;2.368;48.864;9 rue de crussol, paris;;;;;
28;123 rue oberkampf, paris;123 rue ober;2.379;48.866;123 rue oberkampf, paris;;;;;
29;42 rue des acacias, paris;42 rue des aca;2.293;48.877;42 rue des acacias, paris;;;;;
30;64 rue de gand, lille;64 rue de ga;3.068;50.643;64 rue de gand, lille;;;;;
31;484 avenue de la république, la roquette-sur-siagne;484 avenue de la répub;6.951;43.578;484 avenue de la république, saint-jean;;;;;
32;ferme auberge de treh, markstein, kruth;ferme auberge de treh mark;6.966;47.931;;;;;;
33;6 rue de la salle, saint-germain-en-laye;6 rue de la sa;2.093;48.897;6 rue de la salle, saint-germain-en-laye;;;;;
34;10 rue chef de ville, la rochelle;10 rue chef de vi;-1.154;46.158;10 rue chef de ville, la rochelle;;;;;
35;34 route de port d&#39;alon, saint-cyr-sur-mer;34 route de port d&#39;5.715;43.166;;;;;
36;125 route du verdon, arsac;125 route du ver;-0.739;44.982;125 route du verdon, undefined;;;;;
37;15 rue de wattignies, paris;15 rue de watti;2.393;48.837;15 rue de wattignies, paris;;;;;
38;65 avenue paul vaillant couturier, arcueil;65 avenue paul vaillant cout;2.345;48.799;65 avenue paul vaillant-couturier, arcueil;65 avenue gabriel peri, arcueil;65 avenue du président salvador allende, villejuif;;;
39;85 rue de la monnaie, lille;85 rue de la mon;3.062;50.642;85 rue de la monnaie, lille;;;;;
40;99 avenue de stalingrad, arles;99 avenue de stali;4.637;43.691;99 avenue de stalingrad, arles;99 avenue de hongrie, arles;;;;
41;1 rue de billancourt, boulogne-billancourt;1 rue de billa;2.235;48.845;1 rue de billancourt, boulogne-billancourt;;;;;
42;29, bd kennedy, cagnes-sur-mer;29 bd ken;7.152;43.651;;;;;;
43;18, grande rue, marly-le-roi;18 grande r;2.095;48.867;18 grande rue, marly-le-roi;;;;;
44;6 rue de la sourdière, paris;6 rue de la sour;2.332;48.865;6 rue de la sourdière, paris;;;;;
45;95 boulevard longchamp, marseille;95 boulevard long;5.391;43.303;95 boulevard longchamp, marseille;;;;;
46;zac les terrages, viry-noureuil;zac les terr;3.252;49.639;;;;;;
47;17, rue roger bouvry, seclin;17 rue roger bou;3.029;50.549;17 rue roger bouvry, seclin;;;;;
48;72, quai de l'hôtel de ville, paris;72 quai de l'hôtel de vi;2.355;48.855;72 quai de l'hôtel de ville, paris;;;;;
49;80 avenue gambetta, maisons-alfort;80 avenue gamb;2.444;48.81;80 avenue gambetta, maisons-alfort;80 avenue georges clemenceau, maisons-alfort;80 avenue du général leclerc, maisons-alfort;;;
50;87 rue jean de la fontaine, sainte-savine;87 rue jean de la font;4.045;48.299;87 rue jean de la fontaine, sainte-savine;;;;;
51;39 rue saint-jean, laon;39 rue saint;3.618;49.564;39 rue saint-jean, laon;39 rue saint-martin, laon;;;;
52;29, rue remparts d'ainay, lyon;29 rue remparts d'a;4.831;45.753;29 rue des remparts d'ainay, lyon;;;;;
53;524 chemin du praz, les contamines-montjoie;524 chemin du pr;6.724;45.802;524 chemin du praz, undefined;;;;;
54;allée loïc caradec, vannes;allée loïc car;-2.762;47.636;1 allée loic caradec, vannes;14 allée loic caradec, vannes;5 allée loic caradec, vannes;16 allée loic caradec, vannes;3 allée loic caradec, vannes;
55;13 rue lamartine, paris, france, paris;13 rue lamartine paris, fra;2.342;48.877;;;;;;
56;10 place grenette, grenoble;10 place gren;5.727;45.191;10 place grenette, grenoble;10 place sainte-claire, grenoble;10 place victor hugo, grenoble;10 place notre-dame, grenoble;10 place de metz, grenoble;
57;2 avenue honoré serres, toulouse;2 avenue honoré ser;1.439;43.612;2 avenue honoré serres, toulouse;2 avenue des minimes, toulouse;;;;
58;13 rue pierre bray, neuilly-sous-clermont;13 rue pierre br;2.429;49.349;13 rue pierre bray, undefined;;;;;
59;35 rue mauconseil, paris;35 rue mauco;2.347;48.864;35 rue mauconseil, paris;;;;;
60;11, rue de saint-julien, saint-julien-beychevelle;11 rue de saint-;-0.741;45.165;11 rue de saint-julien, undefined;;;;;
61;1, rue de billancourt, boulogne-billancourt;1 rue de billa;2.235;48.845;1 rue de billancourt, boulogne-billancourt;;;;;
62;154 boulevard haussmann, paris;154 boulevard haus;2.311;48.876;154 boulevard haussmann, paris;;;;;
63;121 rue de vaugirard, paris;121 rue de vaug;2.319;48.845;121 rue de vaugirard, paris;;;;;
64;39, rue saint jean, lyon;39 rue saint je;4.827;45.761;39 rue saint-jean, lyon;;;;;
65;3, rue jean-pierre timbaud, montigny-le-bretonneux;3 rue jean-pierre tim;2.037;48.792;;;;;;
66;7 avenue gambetta, paris;7 avenue gamb;2.389;48.864;7 avenue gambetta, paris;;;;;
67;chemin des planchettes, pierrelatte;chemin des planc;4.713;44.361;5000 chemin des planchettes, undefined;;;;;
68;4, rue eugène giraud, valbonne;4 rue eugène gir;7.009;43.641;4 rue eugène giraud, valbonne;;;;;
69;31 avenue de la bourdonnais, paris;31 avenue de la bourd;2.299;48.859;31 avenue de la bourdonnais, paris;31 avenue rapp, paris;31 avenue bosquet, paris;31 avenue de suffren, paris;;
70;120, rue saint-maur, paris;120 rue saint;2.376;48.867;120 rue saint-maur, paris;;;;;
71;rue du 8 mai 1945, mantes-la-ville;rue du 8 mai 19;1.719;48.976;;;;;;
72;70 bis, boulevard auguste blanqui, paris;70 bis boulevard auguste bla;2.348;48.83;;;;;;
73;188 grand rue, poitiers;188 grand r;0.345;46.583;188 grand-rue, poitiers;;;;;
74;41 avenue du général de gaulle, saint-mandé;41 avenue du général de gau;2.418;48.842;41 avenue du général de gaulle, saint-mandé;;;;;
75;21 rue du maréchal de lattre de tassigny, arcachon;21 rue du maréchal de lattre de tass;-1.173;44.661;21 rue du maréchal de lattre de tassigny, arcachon;;;;;
76;2, boulevard des écoles, bailly-romainvilliers;2 boulevard des éco;2.819;48.85;2 boulevard des écoles, magny-le-hongre;;;;;
77;30, quai fernand crouan, nantes;30 quai fernand cro;-1.565;47.207;30 quai fernand crouan, nantes;;;;;
78;3 rue sainte-beuve, paris;3 rue sainte;2.33;48.844;3 rue sainte-beuve, paris;;;;;
79;rue camille flammarion, carcassonne;rue camille flamm;2.387;43.209;6 rue camille flammarion, carcassonne;5 rue camille flammarion, carcassonne;4 rue camille flammarion, undefined;3 rue camille flammarion, carcassonne;5001 rue camille flammarion, carcassonne;
80;137 rue saint-dominique, paris;137 rue saint-d;2.302;48.858;137 rue saint-dominique, paris;;;;;
81;68 avenue gambetta, paris, france, paris;68 avenue gambetta paris, fra;2.402;48.869;;;;;;
82;38 rue principale, heiligenstein;38 rue princ;7.45;48.423;38 rue principale, barr;;;;;
83;55 rue du château d&#39;eau, paris;55 rue du château d&#3;2.355;48.872;;;;;
84;5, rue lazare-carnot, sète;5 rue lazare;3.698;43.403;5 rue lazare carnot, sete;;;;;
85;44 rue des tournelles, paris;44 rue des tourn;2.367;48.856;44 rue des tournelles, paris;;;;;
86;17, rue du choiseul, paris;17 rue du choi;2.336;48.87;;;;;;
87;9, rue saint augustin, paris;9 rue saint augu;2.337;48.869;9 rue saint-augustin, paris;;;;;
88;7 rue de jarente, paris;7 rue de jar;2.363;48.856;7 rue de jarente, paris;7 rue des jardins saint-paul, paris;;;;
89;27 rue racine, le havre;27 rue rac;0.106;49.49;27 rue racine, le havre;;;;;
90;134 espl. le cours, vinon-sur-verdon;134 espl. le co;5.812;43.726;134 esplanade le cours, vinon-sur-verdon;;;;;
91;14 place du grand jardin, vence;14 place du grand jar;7.114;43.722;14 place clemenceau, vence;14 place du grand jardin, vence;;;;
92;33, rue de la plaine des bouchers, strasbourg;33 rue de la plaine des bouc;7.737;48.569;33 rue de la plaine des bouchers, strasbourg;;;;;
93;16 le bourg, lurcy;16 le bo;4.782;46.063;16 le bourg, lurcy;;;;;
94;4, rue des faussets, bordeaux;4 rue des faus;-0.57;44.841;4 rue des faussets, bordeaux;;;;;
95;11 avenue des minimes, toulouse;11 avenue des min;1.437;43.617;11 avenue des minimes, toulouse;11 avenue frédéric estebe, toulouse;;;;
96;36, rue de strasbourg, chalon-sur-saône;36 rue de stras;4.86;46.78;36 rue de strasbourg, chalon-sur-saône;;;;;
97;21 rue du grand pont, rochefort-du-gard;21 rue du grand po;4.688;43.974;21 rue du grand pont, rochefort-du-gard;;;;;
98;30, patio des reflets, courbevoie;30 patio des ref;2.248;48.89;30 patio des reflets, courbevoie;;;;;
99;rue kléber, auch;rue klé;0.589;43.65;1 rue kléber, auch;9001 rue kléber, auch;;;;
100;16, boulevard victor hugo, saint-rémy-de-provence;16 boulevard victor hu;4.832;43.787;16 boulevard victor hugo, saint-rémy-de-provence;16 boulevard mirabeau, saint-rémy-de-provence;16 boulevard marceau, saint-rémy-de-provence;16 boulevard gambetta, saint-rémy-de-provence;;
101;14 rue sauval, paris;14 rue sau;2.343;48.862;14 rue sauval, paris;;;;;
102;60, rue armand caduc, la réole;60 rue armand ca;-0.039;44.582;60 rue armand caduc, la réole;;;;;
103;16 rue jean-jacques rousseau, paris;16 rue jean-jacques rous;2.341;48.863;16 rue jean-jacques rousseau, paris;;;;;
104;19, avenue de narbonne, saint-laurent-de-la-cabrerisse;19 avenue de narb;2.7;43.085;19 avenue de narbonne, saint-laurent-de-la-cabrerisse;;;;;
105;8 rue abel hovelacque, paris;8 rue abel hovel;2.353;48.833;8 rue abel hovelacque, paris;;;;;
106;8, rue tiphaine, paris;8 rue tiph;2.295;48.849;8 rue tiphaine, paris;;;;;
107;2 rue eugène carrière, paris;2 rue eugène carr;2.332;48.889;2 rue eugène carrière, paris;;;;;
108;1 rue orsel, oullins;1 rue or;4.81;45.716;1 rue orsel, oullins;;;;;
109;95 cours du général leclerc, langon;95 cours du général lec;-0.247;44.553;95 cours du général leclerc, langon;;;;;
110;6 bis allée des muletiers, mordelles;6 bis allée des mule;-1.852;48.072;;;;;;
111;6 passage brady, paris;6 passage br;2.355;48.871;6 passage brady, paris;;;;;
112;23, rue petit bonneveau, poitiers;23 rue petit bonn;0.339;46.579;23 rue du petit bonneveau, poitiers;;;;;
113;24 rue du général leclerc, versailles;24 rue du général lec;2.126;48.799;24 rue du général leclerc, versailles;;;;;
114;9 place du marché, palavas-les-flots;9 place du mar;3.932;43.528;9 place du marche, palavas-les-flots;9 place du docteur clément, palavas-les-flots;;;;
115;2, rue des fantasques, lyon;2 rue des fanta;4.837;45.774;2 rue des fantasques, lyon;;;;;
116;70 rue vincent raspail, la garde;70 rue vincent ras;6.01;43.125;70 rue vincent raspail, la garde;;;;;
