id;ref address;query;query lon;query lat;result 1;result 2;result 3;result 4;result 5
1;161 rue de bourgogne, 45000 orléans;bourgogne;1.911674;47.900291;159 rue de bourgogne, 45000 orleans;161 rue de bourgogne, 45000 orleans;163 rue de bourgogne, 45000 orleans;157 rue de bourgogne, 45000 orleans;166 rue de bourgogne, 45000 orleans
0;9, rue du commandant rivière, 75008 paris;rivière;2.30821;48.872667;9 rue du commandant rivière, 75008 paris;12 rue du commandant rivière, 75008 paris;10 rue du commandant rivière, 75008 paris;7 rue du commandant rivière, 75008 paris;5 rue du commandant rivière, 75008 paris
496;boulevard louison bobet, 56170 quiberon;bobet;-3.104289;47.480724;4 boulevard louison bobet, 56170 quiberon;6 boulevard louison bobet, 56170 quiberon;2 boulevard louison bobet, 56170 quiberon;1 boulevard louison bobet, 56170 quiberon;4 rue louison bobet, 56400 auray
497;la cerce, 89200 sauvigny-le-bois;cerce;3.96748;47.497393;2 hameau de la cerce, 89200 undefined;6 hameau de la cerce, 89200 undefined;267 tuilerie de cerce, 89200 undefined;268 tuilerie de cerce, 89200 undefined;1 hameau de la cerce, 89200 undefined
494;5 rue marchand, 91100 corbeil-essonnes;marchand;2.467094;48.604099;6 rue marchand, 91100 corbeil-essonnes;5 rue marchand, 91100 corbeil-essonnes;17 rue marchand, 91100 corbeil-essonnes;8 rue marchand, 91100 corbeil-essonnes;4 rue marchand, 91100 corbeil-essonnes
495;29 rue sambre-et-meuse, 75010 paris;sambre-et-meuse;2.37298;48.874576;29 rue de sambre-et-meuse, 75010 paris;38 rue de sambre-et-meuse, 75010 paris;31 rue de sambre-et-meuse, 75010 paris;40 rue de sambre-et-meuse, 75010 paris;27 rue de sambre-et-meuse, 75010 paris
492;5, rue des vieux moulins, 77100 meaux;moulins;2.87724;48.95977;5 rue des vieux moulins, 77100 meaux;3 rue des vieux moulins, 77100 meaux;2 rue des vieux moulins, 77100 meaux;1 rue des vieux moulins, 77100 meaux;4 rue des vieux moulins, 77100 meaux
491;20 rue jules horowitz, 13115 saint paul lès durance;horowitz;5.733841;43.693748;18 rue jules horowitz, 13115 undefined;20 rue jules horowitz, 13115 undefined;5062 rue jules horowitz, 13115 undefined;9096 rue jules horowitz, 13115 undefined;9073 rue jules horowitz, 13115 undefined
490;route nationale 96 quartier des vieilles tuileries, 13860 peyrolles-en-provence;tuileries;5.59851;43.647784;29 lotissement le jardin des tuileries, 13610 le puy-sainte-réparade;28 lotissement le jardin des tuileries, 13610 le puy-sainte-réparade;30 lotissement le jardin des tuileries, 13610 le puy-sainte-réparade;26 lotissement le jardin des tuileries, 13610 le puy-sainte-réparade;31 lotissement le jardin des tuileries, 13610 le puy-sainte-réparade
488;8 rue botanique, 49100 angers;botanique;-0.547385;47.474096;8 rue botanique, 49100 angers;10 rue botanique, 49100 angers;11 rue botanique, 49100 angers;9 rue botanique, 49100 angers;6 rue botanique, 49100 angers
489;13 rue lagrange, 75005 paris;lagrange;2.348317;48.85114;13 rue lagrange, 75005 paris;11 rue lagrange, 75005 paris;15 rue lagrange, 75005 paris;17 rue lagrange, 75005 paris;12 rue lagrange, 75005 paris
