id;ref address;query;query lon;query lat;result 1;result 2;result 3;result 4;result 5
0;9 rue du commandant rivière, paris, france;rivière;2.30821;48.872667;rue du commandant rivière, paris, france;place théodore rivière, paris, france;rue joseph rivière, courbevoie, france;rue de la rivière, le perreux-sur-marne, france;rue du commandant rivière, suresnes, france
1;161 rue de bourgogne, orléans, france;bourgogne;1.911674;47.900291;rue de bourgogne, orléans, france;rue du faubourg de bourgogne, orléans, france;allée de bourgogne, saran, france;allée de bourgogne, chécy, france;bourgogne, tocane-saint-apre, france
495;la cerce, sauvigny-le-bois, france;cerce;3.96748;47.497393;rue de la cerce, sauvigny-le-bois, france;cerceaux, fresnay-l'évêque, france;cercennes du haut, pont-d'héry, france;rue de cercey, châtellenot, france;route de cercey, thoisy-le-désert, france
494;boulevard louison bobet, quiberon, france;bobet;-3.104289;47.480724;le bobet, grand-champ, france;rue louison bobet, le mans, france;allée louison bobet, villenave-d'ornon, france;allée louison bobet, levallois-perret, france;rue louison bobet, aulnay-sous-bois, france
493;29 rue sambre-et-meuse, paris, france;sambre-et-meuse;2.37298;48.874576;rue de sambre-et-meuse, paris, france;rue de sambre et meuse, houilles, france;avenue de sambre et meuse, gagny, france;rue sambre et meuse, le havre, france;rue sambre et meuse, berlaimont, france
492;5 rue marchand, corbeil-essonnes, france;marchand;2.467094;48.604099;rue marchand, corbeil-essonnes, france;rue marchand-feraoun, fleury-mérogis, france;rue marchand ferraoun, fleury-mérogis, france;allée des marchands, chilly-mazarin, france;rue des marchands, marolles-en-brie, france
491;5 rue des vieux moulins, meaux, france;moulins;2.87724;48.95977;rue des vieux moulins, meaux, france;grands moulins, paris, france;rue des grands moulins, france;rue des moulins, fontenay-sous-bois, france;rue des moulins gémeaux, saint-denis, france
490;20 rue jules horowitz, saint paul lès durance, france;horowitz;5.733841;43.693748;rue jules horowitz, grenoble, france;;;;
489;route nationale 96 quartier des vieilles tuileries, peyrolles-en-provence, france;tuileries;5.59851;43.647784;tuileries, forcalqueiret, france;lotissement les tuileries, marseille, france;domaine des tuileries, villeneuve-loubet, france;chemin des tuileries, meyreuil, france;quai des tuileries, paris, france
488;13 rue lagrange, paris, france;lagrange;2.348317;48.85114;rue lagrange, paris, france;rue léo lagrange, sainte-geneviève-des-bois, france;square léo lagrange, trappes, france;rue léo lagrange, trappes, france;rue lagrange, viry-châtillon, france
487;8 rue botanique, angers, france;botanique;-0.547385;47.474096;rue botanique, angers, france;allée du jardin botanique, bayeux, france;rue du jardin botanique, villers-lès-nancy, france;chemin du sentier botanique, vézeronce-curtin, france;sentier botanique, andrézieux-bouthéon, france
486;28 rue du cardinal lemoine, paris, france;lemoine;2.352693;48.848096;cité du cardinal lemoine, paris, france;rue du cardinal lemoine, paris, france;passage lemoine, paris, france;rue lemoine, boulogne-billancourt, france;rue jean lemoine, romainville, france
485;55 boulevard de vaugirard, paris, france;vaugirard;2.316657;48.840722;rue de vaugirard, paris, france;boulevard de vaugirard, paris, france;rue de vaugirard, noisy-le-grand, france;rue de vaugirard, meudon, france;route de vaugirard, meudon, france
484;27 boulevard de la république, chalon-sur-saône, france;république;4.849271;46.783243;boulevard de la république, chalon-sur-saône, france;place de la république, chalon-sur-saône, france;cours de la république, villeurbanne, france;rue de la république, lyon, france;place de la république, dijon, france
483;18 place du château, jonzac, france;château;-0.43162;45.445648;place du château, jonzac, france;château beaumont, cussac-fort-médoc, france;château de chenonceau, chenonceaux, france;château d'agassac, ludon-médoc, france;château de theon, cozes, france
482;place maurice faure, romans-sur-isère, france;faure;5.04913;45.042886;fauré, lupé, france;impasse andré fauré, montélimar, france;les faures, alixan, france;faures et bonanche, saint-julien-en-quint, france;avenue félix faure, lyon, france
481;10-12 boulevard maréchal foch, beaune, france;maréchal foch;4.83625;47.026959;boulevard maréchal foch, beaune, france;avenue maréchal foch, dijon, france;rue maréchal foch, le creusot, france;boulevard maréchal foch, grenoble, france;rue maréchal foch, baulme-la-roche, france
480;275 route de saint antoine ginestière, nice, france;ginestière;7.21717;43.706937;chemin de la ginestière, nice, france;chemin du château de la ginestière, nice, france;ancien chemin de la ginestière, nice, france;les hautes ginestières, villeneuve-loubet, france;route de la ginestière, carros, france
479;27 grand rue, lodève, france;grand rue;3.319853;43.731001;grand rue, lodève, france;grand rue, jonquières, france;grand rue, saint-andré-de-sangonis, france;grand rue, la vacquerie-et-saint-martin-de-castries, france;grand rue, ceyras, france
478;46 rue de la balance, avignon, france;balance;4.80577;43.951928;rue de la balance, avignon, france;balance, fournols, france;allée de la balance, aix-en-provence, france;rue des balances, vendargues, france;rue des balances, montpellier, france
477;route de manosque, la bastide-des-jourdans, france;manosque;5.640144;43.786117;la tour du mont d'or, manosque, france;boulevard de manosque, marseille, france;route de manosque, valensole, france;route de manosque, la bastide-des-jourdans, france;route de manosque, gréoux-les-bains, france
476;1 rue du faubourg saint-antoine, paris, france;saint-antoine;2.370511;48.853322;cour du marché saint-antoine, france;rue saint-antoine, paris, france;passage saint-antoine, paris, france;rue du faubourg saint-antoine, paris, france;rue du plateau saint-antoine, le chesnay, france
475;12 rue dante, nice, france;dante;7.254141;43.695774;rue dante, nice, france;traverse dante alighieri, mandelieu-la-napoule, france;rue edmond dantès, marseille, france;dante, la chapelle-des-fougeretz, france;avenue dante, strasbourg, france
474;2 rue jean corringer, vigneux-sur-seine, france;corringer;2.423311;48.706145;rue jean corringer, vigneux-sur-seine, france;;;;
473;12 quai des célestins, paris, france;célestins;2.361439;48.852206;quai des célestins, paris, france;ruelle des célestins, marcoussis, france;rue des célestins, drancy, france;rue des célestins, versailles, france;passage des célestins, serris, france
472;7 rue de la duchesse d'uzès, boursault, france;d'uzès;3.846525;49.060422;rue d'uzès, paris, france;route d'uzès, saint-hilaire-de-brethmas, france;rue d'uzès, verzenay, france;avenue d'uzès, le mesnil-saint-denis, france;allée d'uzès, liverdun, france
471;46 passage clemenceau, vichy, france;clemenceau;3.422888;46.125122;passage clemenceau, vichy, france;boulevard georges clemenceau, dijon, france;avenue georges clemenceau, montpellier, france;rue georges clemenceau, clermont-ferrand, france;boulevard georges clemenceau, bourges, france
470;251 rue gallieni, boulogne-billancourt, france;gallieni;2.22716;48.834826;rue gallieni, boulogne-billancourt, france;quai gallieni, suresnes, france;avenue du général galliéni, meudon, france;avenue gallieni, bagnolet, france;boulevard gallieni, issy-les-moulineaux, france
469;le moulin, conques, france;moulin;2.440639;44.580661;moulin de sanhes, saint-cyprien-sur-dourdou, france;moulin de saint-martial, saint-pantaléon, france;moulin d'arjac, nauviale, france;moulin de ribaute, duilhac-sous-peyrepertuse, france;moulin de limou, flagnac, france
468;7 rue brochant, paris, france;brochant;2.31703;48.888386;rue brochant, paris, france;;;;
467;4 rue violet, paris, france;violet;2.294793;48.849632;rue violet, paris, france;place violet, paris, france;villa violet, france;rue violette, bourg-la-reine, france;allée des violettes, suresnes, france
