id;ref address;query;query lon;query lat;result 1;result 2;result 3;result 4;result 5;
0;9, rue du commandant rivière, paris, france;rivière;2.308;48.873;riviere consulting, rue washington, paris, france;dr rivière catherine, boulevard de courcelles, paris, france;rivière perrin avocats, rue du commandant rivière, paris, france;rivières, rue alphonse daudet, paris, france;riviere anne-charlotte, rue de monceau, paris, france;
1;161 rue de bourgogne, orléans, france;bourgogne;1.912;47.9;bourgogne, orléans, france;bourgogne, france;rue de bourgogne, orléans, france;gsm bourgogne, rue de bourgogne, orléans, france;maison bourgogne, rue de bourgogne, orléans, france;
2;17 rue pierre bouvier, fontaines-sur-saône, france;bouvier;4.849;45.834;rue pierre bouvier, fontaines-sur-saône, france;bouvières, france;bouvier matthieu, rue jules guesde, villeurbanne, france;bouvier isabelle, place bellecour, lyon, france;bouvier isabelle, rue de la république, lyon, france;
3;442 rue de lille, roncq, france;lille;3.122;50.767;lille, france;lille-centre, lille, france;lille europe, place françois mitterrand, euralille, france;lille grand palais, lille, france;lille fives, lille, france;
4;7, route du pontel, jouars-pontchartrain, france;pontel;1.9;48.803;route du pontel, jouars-pontchartrain, france;le pontel, villiers-saint-frédéric, france;rue du pontel, saint-germain-en-laye, france;pontelagoscuro, ferrare, italie;place du pontel, villiers-saint-frédéric, france;
5;9 rue henri drussy, blois, france;drussy;1.336;47.587;rue henri drussy, blois, france;drussy, châtillon, suisse;drussya digital studio, kanuru main road, kanuru, vijayawada, andhra pradesh, inde;;;
6;75 av. des champs-élysées, paris, france;champs-élysées;2.303;48.871;champs-élysées, paris, france;rond-point des champs-elysées, paris, france;champs-elysees - clémenceau, paris, france;massimo dutti, avenue des champs-élysées, paris, france;champs elysees, avenue des champs-élysées, paris, france;
7;boulevard des pyrénées, oloron-sainte-marie, france;pyrénées;-0.62;43.191;pyrénées-atlantiques, france;pyrénées, undefined;pyrenees presse, rue carrerot, oloron-sainte-marie, france;association pyrénées ô santé, avenue charles et henri moureu, oloron-sainte-marie, france;pyrénées béarn immobilier, place de la cathédrale, oloron-sainte-marie, france;
8;1 avenue de l'industrie, rebais, france;l'industrie;3.239;48.851;l'industrie café brasserie bar à vins, boulevard bessières, paris, france;l'industrie lingerie, rue sedaine, paris, france;l'industrie, boulevard bessières, paris, france;haddad kaci, avenue parmentier, paris, france;l'industrie, rue félix faure, saint-andré-lez-lille, france;
9;51, rue du général de gaulle, kirchheim, france;gaulle;7.494;48.608;rue du gén de gaulle, kirchheim, france;rue du général de gaulle, marlenheim, france;rue du général de gaulle, wasselonne, france;avenue du général de gaulle, molsheim, france;rue du général de gaulle, breuschwickersheim, france;
10;25 avenue de villeneuve saint-georges, choisy-le-roi, france;saint-georges;2.416;48.765;saint georges, paris, france;saint-georges, paris, france;villeneuve-saint-georges, france;saint georges lafayette **, rue victor massé, paris, france;avenue de villeneuve saint-georges, choisy-le-roi, france;
11;17 rue barbès, ivry-sur-seine, france;barbès;2.373;48.817;barbès, paris, france;marché barbès, boulevard de la chapelle, paris, france;brasserie barbès, boulevard barbès, paris, france;le barbès, rue du faubourg poissonnière, paris, france;barbes services, rue de la charbonnière, paris, france;
12;6 allée megevie, gradignan, france;megevie;-0.641;44.774;allée de mégévie, gradignan, france;;;;;
13;29, route de banyuls, portvendres, france;banyuls;3.109;42.513;banyuls-sur-mer, france;maison banyuls, rue camille pelletan, banyuls-sur-mer, france;banyuls immobilier, banyuls-sur-mer, france;optique banyuls, avenue du puig del mas, banyuls-sur-mer, france;yacht club banyuls, avenue pierre fabre, banyuls-sur-mer, france;
14;3, rue raymond grimaud, blagnac, france;grimaud;1.375;43.639;rue raymond grimaud, blagnac, france;grimaud, france;grimaud alexandre, allées forain-françois verdier, toulouse, france;place raymond grimaud, toulouse, france;grimaud, labessière-candeil, france;
15;11, rue de la devise, bordeaux, france;devise;-0.571;44.84;rue de la devise, bordeaux, france;devise, bordeaux, france;château devise d'ardilley, le pateau, saint-laurent-médoc, france;devise, france;devise sarl, villeneuve-de-duras, france;
16;48 rue monsieur le prince, paris, france;prince;2.34;48.848;hôtel prince de galles, avenue george v, paris, france;princesse tam.tam, rue bonaparte, paris, france;princesse tam.tam, boulevard saint-michel, paris, france;princesse tam.tam, rue de sèvres, paris, france;princesse tam.tam, rue bréa, paris, france;
17;66 rue de bonnel, lyon, france;bonnel;4.85;45.762;bonnel couture, rue de bonnel, lyon, france;pompes funebres bonnel, rue moncey, lyon, france;rue de bonnel, lyon, france;parking bonnel servient, rue de créqui, lyon, france;parc bonnel-servient, rue de créqui, lyon, france;
18;62, rue pergolèse, paris, france;pergolèse;2.281;48.873;rue pergolèse, paris, france;hôtel pergolese paris, rue pergolèse, paris, france;le pergolèse, rue pergolèse, paris, france;atelier pergolèse, avenue victor hugo, paris, france;atelier pergolese, rue pergolèse, paris, france;
19;18, rue du faubourg-de-saverne, strasbourg, france;faubourg-de-saverne;7.74;48.586;faubourg de saverne, strasbourg, france;rue du faubourg-de-saverne, strasbourg, france;la théière, rue du faubourg-de-saverne, strasbourg, france;;;
20;1 rue jean bologne, paris, france;bologne;2.28;48.857;rue jean bologne, paris, france;jean bologne, paris, france;bologne, france;bologne, italie;tour bologne, boulevard masséna, paris, france;
22;10, rue rougemont, paris, france;rougemont;2.346;48.872;rue rougemont, paris, france;cité rougemont, paris, france;rougemont chanteloup, sevran, france;rougemontiers, france;pharmacie rougemont, rue pierre brossolette, sevran, france;
23;1 rue legrand, malakoff, france;legrand;2.304;48.824;legrand filles et fils, rue de la banque, paris, france;dumont legrand architectes, rue du lieuvin, paris, france;legrand julie, boulevard brune, paris, france;legrand, rue du bac, paris, france;editions et galerie virgile legrand, rue de l'université, paris, france;
24;8, boulevard du maréchal joffre, rueil-malmaison, france;joffre;2.183;48.879;joffre odile, boulevard des batignolles, paris, france;joffre-mutualité, rouen, france;joffre cinéma, épinay-sur-seine, france;boulevard du maréchal joffre, rueil-malmaison, france;joffre - de lattre de tassigny, épinay-sur-seine, france;
