id;ref address;query;query lon;query lat;result 1;result 2;result 3;result 4;result 5
0;9, rue du commandant rivière, 75008 paris;rivsière;2.308;48.873;;;;;
1;161 rue de bourgogne, 45000 orléans;boursgogne;1.912;47.900;;;;;
498;la cerce, 89200 sauvigny-le-bois;cesrce;3.967;47.497;;;;;
497;boulevard louison bobet, 56170 quiberon;bosbet;-3.104;47.481;;;;;
496;29 rue sambre-et-meuse, 75010 paris;sambre-set-meuse;2.373;48.875;;;;;
495;5 rue marchand, 91100 corbeil-essonnes;marcshand;2.467;48.604;;;;;
494;11 paris, 83470 seillons-source-d'argens;pasris;5.898;43.495;;;;;
493;5, rue des vieux moulins, 77100 meaux;mouslins;2.877;48.960;;;;;
492;20 rue jules horowitz, 13115 saint paul lès durance;horoswitz;5.734;43.694;;;;;
491;route nationale 96 quartier des vieilles tuileries, 13860 peyrolles-en-provence;tuilseries;5.599;43.648;;;;;
490;13 rue lagrange, 75005 paris;lagrsange;2.348;48.851;;;;;
489;8 rue botanique, 49100 angers;botasnique;-0.547;47.474;;;;;
487;55 boulevard de vaugirard, 75015 paris;vaugsirard;2.317;48.841;;;;;
488;28 rue du cardinal lemoine, 75005 paris;lemsoine;2.353;48.848;;;;;
485;18, place du château, 17500 jonzac;châsteau;-0.432;45.446;2 chemin de chasteau, 33240 undefined;1 chemin de chasteau, 33240 undefined;3 chemin de chasteau, 33240 undefined;4 chemin de chasteau, 33240 undefined;5005 la chasteau, 15400 undefined
486;27 boulevard de la république, 71100 chalon-sur-saône;répubslique;4.849;46.783;;;;;
484;place maurice faure, 26100 romans-sur-isère;fasure;5.049;45.043;;;;;
483;10-12, boulevard maréchal foch, 21200 beaune;fosch;4.836;47.027;55 foschastrasse, 3970 undefined;44 foschastrasse, 3970 undefined;42 foschastrasse, 3970 undefined;40 foschastrasse, 3970 undefined;38 foschastrasse, 3970 undefined
482;275, route de saint antoine ginestière, 06200 nice;ginesstière;7.217;43.707;;;;;
481;27 grand rue, 34700 lodève;rsue;3.320;43.731;;;;;
480;46, rue de la balance, 84000 avignon;balsance;4.806;43.952;;;;;
479;route de manosque, 84240 la bastide-des-jourdans;manossque;5.640;43.786;;;;;
477;12 rue dante, 06000 nice;dasnte;7.254;43.696;;;;;
478;1 rue du faubourg saint-antoine, 75011 paris;saint-santoine;2.371;48.853;;;;;
475;12 quai des célestins, 75004 paris;célesstins;2.361;48.852;;;;;
476;2 rue jean corringer, vigneux-sur-seine, france, 91270 vigneux-sur-seine;frasnce;2.423;48.706;;;;;
474;7 rue de la duchesse d'uzès, 51480 boursault;d'uszès;3.847;49.060;;;;;
473;46 passage clemenceau, 03200 vichy;clemesnceau;3.423;46.125;;;;;
472;251 rue gallieni, 92100 boulogne-billancourt;gallsieni;2.227;48.835;;;;;
471;le moulin, 12320 conques;mouslin;2.441;44.581;;;;;
470;7, rue brochant, 75017 paris;brocshant;2.317;48.888;;;;;
469;4 rue violet, 75015 paris;vioslet;2.295;48.850;;;;;
468;9, place des martyrs de la résistance, 33340 lesparre-médoc;résisstance;-0.945;45.304;;;;;
467;27, rue thiers, 08600 givet;thisers;4.826;50.138;;;;;
466;7, place surian, 06140 vence;sursian;7.114;43.722;;;;;
465;43, rue du général de gaulle, 67110 niederbronn-les-bains;gauslle;7.646;48.950;;;;;
464;8 rue amédée bolle, 68127 sainte-croix-en-plaine;boslle;7.377;48.017;;;;;
