id;ref address;query;query lon;query lat;result 1;result 2;result 3;result 4;result 5
1;161 rue de bourgogne, orléans, france;bourhgogne;1.911674;47.900291;rue de bourgogne, orléans, france;rue du faubourg de bourgogne, orléans, france;allée de bourgogne, saran, france;allée de bourgogne, chécy, france;bourgogne, tocane-saint-apre, france
0;9, rue du commandant rivière, paris, france;rivoière;2.308210;48.872667;rue du commandant rivière, paris, france;place théodore rivière, paris, france;rue joseph rivière, courbevoie, france;rue de la rivière, le perreux-sur-marne, france;rue du commandant rivière, suresnes, france
199;21 rue de l'horloge, riom, france;l'hotrloge;3.113710;45.894627;rue de l'horloge, auxerre, france;l'horloge, le bourget-du-lac, france;place de l'horloge, avignon, france;quai de l'horloge, paris, france;rue de l'horloge, perpignan, france
198;8 rue du plan d'agde, montpellier, france;d'ahgde;3.875816;43.608295;route d'agde, toulouse, france;;;;
197;85, rue saint antoine, paris, france;antpoine;2.362690;48.854480;rue saint-antoine, paris, france;rue du faubourg saint-antoine, paris, france;passage antoine carême, france;rue antoine-julien hénard, paris, france;rue antoine vollon, paris, france
196;31 avenue george v, paris, france;george bv;2.300169;48.868751;avenue george v, paris, france;avenue george 5, nice, france;;;
195;93 rue de la victoire, paris, france;victpoire;2.330768;48.874732;rue de la victoire, paris, france;place des victoires, paris, france;place de la victoire, bordeaux, france;place des victoires, asnières-sur-seine, france;allée de la victoire, gennevilliers, france
194;quai la pérouse, saint-laurent-du-var, france;pérpouse;7.183110;43.657037;quai la pérouse, saint-laurent-du-var, france;pérouse, saint-alban-auriolles, france;rue des perouses, rumilly, france;avenue de pérouse, aix-en-provence, france;pérouse, eyzin-pinet, france
193;16 rue de tolbiac, paris, france;tolnbiac;2.374643;48.829833;rue de tolbiac, paris, france;villa tolbiac, paris, france;port de tolbiac, france;pont de tolbiac, paris, france;allée de tolbiac, gagny, france
192;rue intérieure, paris, france;intéroieure;2.325605;48.875994;rue intérieure, paris, france;rue intérieure, coulommiers, france;rue intérieure, arandon, france;rue intérieure, saint-jean-le-centenier, france;place intérieure de l'église, blagnac, france
191;45 rue saint-charles, toulouse, france;saint-vcharles;1.442397;43.610046;rue saint-charles, toulouse, france;saint-charles, perpignan, france;saint-charles, damiatte, france;escalier gare saint-charles, marseille, france;rue saint-charles, castelginest, france
190;37, rue malar, paris, france;mamlar;2.306260;48.859512;rue malar, paris, france;rue malard fauquet, bry-sur-marne, france;ruelle malard, chambourcy, france;rue françois malard, paray-vieille-poste, france;square sud malarme, gouvieux, france
189;22, rue de ribosi domaine des duc, léguevin, france;des diuc;1.257370;43.602535;chemin des ducs, bioule, france;rue des grands ducs, foix, france;boulevard des ducs de biron, villeréal, france;promenade des ducs, lauzun, france;allée des grands ducs, bergerac, france
188;22 rue pairolière, nice, france;pairomlière;7.279059;43.699655;rue pairolière, nice, france;ruelle pairolière, nice, france;;;
187;11, faubourg saint-michel, guérande, france;saint-wmichel;-2.426110;47.327060;rue saint-michel, guérande, france;passage saint-michel, guérande, france;faubourg saint michel, guérande, france;ruelle saint-michel, guérande, france;rue saint-michel, piriac-sur-mer, france
186;16 rue sedaine, paris, france;sedzaine;2.372169;48.855790;;;;;
185;49 cours marc-antoine brillier, vienne, france;brilmlier;4.872950;45.521955;cours brillier, vienne, france;la brillière, sambin, france;la brillière, cloué, france;;
184;7 allée des marettes, bourgoin-jallieu, france;mareyttes;5.277516;45.584829;allée des marettes, bourgoin-jallieu, france;rue des marettes, bourgoin-jallieu, france;les marettes, la roche-de-glun, france;les marettes, mercurol, france;quai des marettes, la roche-de-glun, france
183;17 place de l hôtel de ville, tournus, france;vimlle;4.912382;46.561518;villemouze, paray-sous-briailles, france;villeveny, saint-vincent-en-bresse, france;villeneuve, yssingeaux, france;villermin, saint-usuge, france;villeneuve, étrigny, france
182;place auguste baret, châteauneuf-le-rouge, france;batret;5.567429;43.489238;;;;;
181;11b rue massenet, nice, france;massrenet;7.263890;43.696097;rue massenet, nice, france;avenue massenet, cagnes-sur-mer, france;boulevard massenet, marseille, france;avenue massenet, fréjus, france;impasse massenet, fréjus, france
180;le guiben, camors, france;guinben;-3.009623;47.800180;;;;;
179;2, place saint germain, sully-sur-loire, france;gerwmain;2.367970;47.766520;place saint-germain, sully-sur-loire, france;rue du faubourg saint-germain, sully-sur-loire, france;germaine tillion, nantes, france;cité germain pilon, paris, france;germaine tillion, rezé, france
178;9 avenue du général de gaulle, vélizy-villacoublay, france;gaumlle;2.183762;48.784707;avenue du général de gaulle, vélizy-villacoublay, france;place charles de gaulle, paris, france;avenue charles de gaulle, neuilly-sur-seine, france;place du général de gaulle, viroflay, france;avenue du général de gaulle, versailles, france
177;45/47, rue albert rémy, ris-orangis, france;réwmy;2.407810;48.656729;;;;;
176;2a, route de lyon, brignais, france;lypon;4.771410;45.678094;route de lyon, brignais, france;aéroport lyon saint-exupéry, colombier-saugnieu, france;place carnot, lyon, france;opéra nouvel, lyon, france;rue victor hugo, lyon, france
175;27 rue richer, paris, france;ricjher;2.345057;48.873903;rue richer, france;avenue richerand, paris, france;passerelle richerand, paris, france;richer, argenvilliers, france;allée du richer, attainville, france
174;le jarier d'ancenis - d723, ancenis, france;d7a23;-1.141240;47.377874;;;;;
173;45 espl. du maréchal leclerc, ardres, france;lecmlerc;1.977942;50.852876;esplanade du maréchal leclerc, ardres, france;boulevard du général leclerc, mons-en-barœul, france;rue du maréchal leclerc, hazebrouck, france;rue du général leclerc, rouen, france;rue du général leclerc, franconville, france
172;15 boulevard denys puech, rodez, france;purech;2.577996;44.349699;chemin de fersine, pure, france;;;;
171;10, rue des verriers, lyon, france;verroiers;4.836710;45.743454;chemin des verrières, charbonnières-les-bains, france;verrières, saint-germain-laval, france;verrières, montpont-en-bresse, france;verrières, rosiers-d'égletons, france;route de verrières, courzieu, france
170;113, grande rue de la guillotière, lyon, france;guillpotière;4.848330;45.750990;grande rue de la guillotière, lyon, france;pont de la guillotière, lyon, france;chemin de la guillotière, mornant, france;impasse guillotière, vourles, france;la guillotière, pavezin, france
169;81, rue de rochechouart, paris, france;rochecjhouart;2.346610;48.882205;boulevard de rochechouart, paris, france;rue de rochechouart, paris, france;rue rochechouart, missy-sur-aisne, france;boulevard rochechouart, verneuil-sur-avre, france;avenue rochechouart, fontevraud-l'abbaye, france
168;74 quai des orfèvres, paris, france;orfèbvres;2.341550;48.856828;quai des orfèvres, paris, france;rue des orfèvres, france;allée des orfèvres, courtry, france;rue des orfèvres, marolles-en-brie, france;rue des orfèvres, châteaufort, france
167;5, avenue villermont, nice, france;villetrmont;7.264590;43.708961;avenue villermont, nice, france;traverse villermont, nice, france;rue de villermont, nesles-la-montagne, france;;
166;85 avenue kléber, paris, france;klénber;2.288604;48.864479;avenue kléber, paris, france;impasse kléber, paris, france;avenue kléber, colombes, france;rue kléber, montreuil, france;rue kléber, nanterre, france
165;4 rue jacques manuel, perpignan, france;maniuel;2.895430;42.700403;place manuel de falla, perpignan, france;carrer manuel, perpignan, france;impasse manuel de falla, saint-cyprien, france;rue manuel, narbonne, france;rue manuel de falla, carcassonne, france
164;10 allée des tullistes, écully, france;tulloistes;4.779408;45.775211;allée des tullistes, écully, france;;;;
163;22 rue merigonde, castres, france;merihgonde;2.253731;43.602116;rue merigonde, castres, france;;;;
162;10, route d'etrez, montrevel-en-bresse, france;d'eytrez;5.130130;46.336394;;;;;
160;avenue eugène donadeï, saint-laurent-du-var, france;donzadeï;7.195204;43.659688;avenue eugène donadeï, saint-laurent-du-var, france;;;;
161;12 rue neuve, lyon, france;neiuve;4.835165;45.765107;rue neuve, lyon, france;place neuve saint-jean, lyon, france;chemin de grange neuve, diémoz, france;rue neuve de monplaisir, lyon, france;place neuve, bourg-en-bresse, france
158;6 boulevard du général de gaulle, draveil, france;gaumlle;2.391940;48.687691;boulevard du général de gaulle, draveil, france;avenue du général de gaulle, paray-vieille-poste, france;avenue du général de gaulle, juvisy-sur-orge, france;avenue du général de gaulle, viry-châtillon, france;place charles de gaulle, paris, france
159;17 avenue du bel air, paris, france;bel aoir;2.396977;48.846383;villa du bel air, paris, france;avenue du bel air, paris, france;cour du bel air, paris, france;bel-air, charmentray, france;villa du bel air, saint-denis, france
157;33 rue guersant, paris, france;guerdsant;2.288784;48.881609;rue guersant, paris, france;chemin guersant, paris, france;rue du docteur guersant, dreux, france;rue du docteur guersant, aulnoye-aymeries, france;place du docteur guersant, aulnoye-aymeries, france
156;1 place des marronniers, montbazon, france;marronnniers;0.713464;47.287369;place des marronniers, montbazon, france;rue des marronniers, saint-avertin, france;avenue des marronniers, saint-branchs, france;allée des marronniers, joué-lès-tours, france;rue des marronniers, ballan-miré, france
155;79 rue saint-dominique, paris, france;saint-dpominique;2.308696;48.859562;rue saint-dominique, paris, france;rue saint-dominique, châlons-en-champagne, france;avenue saint-dominique, saint-herblain, france;rue saint-dominique, clermont-ferrand, france;impasse saint-dominique, aumale, france
154;103 rue la boétie, paris, france;boéytie;2.307100;48.871352;rue la boétie, paris, france;allée la boétie, sevran, france;rue de la boétie, mennecy, france;rue etienne de la boetie, eybens, france;rue de la boétie, ormes, france
153;10 rue brochant, paris, france;brocjhant;2.317572;48.888427;;;;;
152;9 place du concert, lille, france;convcert;3.061140;50.642067;rue prosper convert, bourg-en-bresse, france;rue georges convert, pont-d'ain, france;convertigues, montjoire, france;les converts, montigny-sur-chiers, france;sentier convert, lancrans, france
151;28 rue kuhn, strasbourg, france;kujhn;7.737000;48.584983;rue kuhn, strasbourg, france;route du kuhnensand, strasbourg, france;rue jean paul kuhn, sainte-marie-aux-mines, france;rue kuhnenbach, maisonsgoutte, france;
150;place diana, la grande-motte, france;dizana;4.091116;43.556909;;;;;
149;18 rue de paris, charenton-le-pont, france;patris;2.418680;48.818725;patris, saint-émilion, france;rue patris de breuil, maizières-la-grande-paroisse, france;patris, captieux, france;la patrisière, lavardin, france;la patrisière, saint-arnoult, france
148;caillau, vire-sur-lot, france;caimllau;1.101212;44.480223;caillau, vire-sur-lot, france;caillau, saint-christoly-de-blaye, france;caillau, aillas, france;caillauca, flaujagues, france;caillau ruines, faudoas, france
147;52 rue de genève, ferney-voltaire, france;genrève;6.115080;46.252663;avenue de genève, france;rue de genève, ferney-voltaire, france;route de genève, france;route de genève, cessy, france;rue de genève, saint-genis-pouilly, france
146;61, rue des trois frères, paris, france;frètres;2.338220;48.885624;;;;;
145;3212 chemin de tanvol, viriat, france;tanbvol;5.265345;46.239666;carrefour de tanvol, viriat, france;chemin de tanvol, viriat, france;route de tanvol, meillonnas, france;;
144;3 avenue de la république, paris, france;répubmlique;2.367400;48.866747;place de la république, paris, france;avenue de la république, paris, france;place de la république, levallois-perret, france;place de la republique, clichy, france;avenue de la république, aubervilliers, france
143;25, place de bethune, lille, france;betjhune;3.062370;50.632545;rue de béthune, lille, france;place de béthune, lille, france;rue du faubourg de béthune, lille, france;route de béthune, lens, france;rue de béthune, wattrelos, france
142;1 rue pierre brossolette, le plessis-bouchard, france;brosspolette;2.235647;49.001288;rue pierre brossolette, le plessis-bouchard, france;rue pierre brossolette, levallois-perret, france;rue pierre brossolette, eaubonne, france;rue pierre brossolette, taverny, france;rue pierre brossolette, sartrouville, france
140;118 rue véron, alfortville, france;vétron;2.414732;48.807528;;;;;
141;12, quai marc seguin, tournon-sur-rhône, france;segiuin;4.833940;45.068135;quai marc seguin, tournon-sur-rhône, france;place marc seguin, tain-l'hermitage, france;seguin, lignan-de-bordeaux, france;seguin, saint-fortunat-sur-eyrieux, france;seguin, saint-pardon-de-conques, france
138;19 rue georges clemenceau, saint-quay-portrieux, france;clemennceau;-2.829297;48.646713;boulevard georges clemenceau, rennes, france;boulevard clemenceau, saint-brieuc, france;rue clemenceau, étables-sur-mer, france;rue georges clemenceau, nantes, france;avenue georges clemenceau, caen, france
139;route de murs, gordes, france;mutrs;5.202583;43.920245;route de murs, gordes, france;route de murs, venasque, france;rue entre 2 murs, marseille, france;mursares, merlas, france;chemin des murs, vizille, france
137;25 rue jeanne d'arc, saint-quay-portrieux, france;d'zarc;-2.837701;48.654316;boulevard d'arcachon, la teste-de-buch, france;rue d'arcole, le mans, france;rue d'arcole, paris, france;pont d'arcole, paris, france;rue d'archiac, tonnay-charente, france
136;4 boulevard de port-royal, paris, france;port-troyal;2.350901;48.837143;boulevard de port-royal, paris, france;square de port-royal, paris, france;cité de port-royal, paris, france;allée du port royal, montreuil, france;route de port royal, montigny-le-bretonneux, france
135;26, avenue des champs elysées, paris, france;elydsées;2.308550;48.869440;champs-élysées, paris, france;champs elysées, champignelles, france;avenue des elysées, valras-plage, france;;
134;175 grande rue charles de gaulles, nogent-sur-marne, france;gaumlles;2.480569;48.835766;;;;;
133;3 rue charles vii, nogent-sur-marne, france;charles voii;2.485696;48.836777;rue charles viii, amboise, france;place charles viii, tours, france;rue charles viii, langeais, france;allée charles viii, fougères, france;
132;12 rue piliers de tutelle, bordeaux, france;tutrelle;-0.573510;44.841484;chemin de la tutelle, saint-georges-de-didonne, france;chemin de la tutelle, poucharramet, france;chemin de tutelle, castres, france;;
130;12 rue de charonne, paris, france;charponne;2.374430;48.852487;charponnet, allex, france;route des charponnets, sévrier, france;;;
131;41, rue de la rochefoucauld, paris, france;rochefpoucauld;2.334780;48.879830;rue de la rochefoucauld, paris, france;square de la rochefoucauld, paris, france;rue de la rochefoucauld, boulogne-billancourt, france;rue de la rochefoucauld, les lilas, france;allée de la rochefoucauld, clichy-sous-bois, france
129;restaurant, montclus, france;restaiurant;4.441070;44.262907;restaurant, carsan, france;restaurant universitaire, avignon, france;restaurant universitaire, aix-en-provence, france;restaurant le galilée, avenue jean capelle ouest, villeurbanne, france;restaurant universitaire rabelais, poitiers, france
128;12 rue bourgeot, l'haÿ-les-roses, france;bourhgeot;2.336330;48.778666;rue bourgeot, l'haÿ-les-roses, france;place de la bourgeoterie, villeneuve-les-bordes, france;la bourgeottière, courdemanche, france;le bourgeot, mansigné, france;bois bourgeot, saint-léger-des-vignes, france
127;8, rue jean burguet, bordeaux, france;burhguet;-0.578150;44.834440;rue jean burguet, bordeaux, france;burguet, mortagne-sur-sèvre, france;burguet, ganties, france;burguet, gouzens, france;le burguet, bréville, france
126;27, route de saint omer, socx, france;omrer;2.421420;50.934320;rue omer pley, saint-omer, france;route de saint-omer, zegerscappel, france;quai de saint-omer, dunkerque, france;route de saint-omer, west-cappel, france;rue de saint-omer, rexpoëde, france
125;4 rue pierre leroux, paris, france;lerpoux;2.318569;48.850161;pré leproux, le mesnil-sur-blangy, france;rue marc leproux, saint-maurice-des-lions, france;;;
124;43, rue de seine, paris, france;seoine;2.336880;48.855366;rue de seine, paris, france;voie georges pompidou, paris, france;seine en vue, quai georges gorse, boulogne-billancourt, france;rue de seine, boulogne-billancourt, france;impasse de la seine, issy-les-moulineaux, france
123;84 avenue secrétan, paris, france;secrrétan;2.377906;48.878971;avenue secrétan, paris, france;avenue secrétan, dives-sur-mer, france;;;
122;3 rue poissonnière, paris, france;poissonnnière;2.347640;48.868593;rue du faubourg poissonnière, paris, france;boulevard poissonnière, paris, france;rue poissonnière, paris, france;villa poissonnière, paris, france;rue poissonnière, gennevilliers, france
121;177 rue sainte-catherine, bordeaux, france;sainte-czatherine;-0.573466;44.835254;cité dulamon 196 sainte-catherine, bordeaux, france;rue parlement sainte-catherine, bordeaux, france;rue sainte-catherine, bordeaux, france;impasse sainte-catherine, bordeaux, france;sainte-catherine, langoiran, france
120;8, place du marché gayot, strasbourg, france;gauyot;7.753480;48.582757;rue jean paul guyot, mandeure, france;rue guyot, audun-le-roman, france;rue de guyot, maîche, france;cour guyot, marsannay-le-bois, france;rue guyotte, châtillon-sur-seine, france
