address;city;postal_code;gps_lat;gps_long;name
9, rue du Commandant Rivière;Paris;75008;48,8726666;2,308209896;Amber
161 Rue de Bourgogne;Orléans;45000;47,9002911;1,911674;LE RAJISTHAN
17 Rue Pierre Bouvier;Fontaines-sur-Saône;69270;45,8343384;4,8485014;Au thym et à l'ail
442 Rue de Lille;Roncq;59223;50,7672452;3,1220484;Aux Indes Club
7, route du Pontel;Jouars-Pontchartrain;78760;48,80283348;1,899610043;Le Bistro Gourmand
9 Rue Henri Drussy;Blois;41000;47,5868406;1,3360926;Au Coin D'Table
75 Av. des Champs-Élysées;Paris;75008;48,870814;2,3030644;Ladurée Paris Champs-Elysées
Boulevard des Pyrénées;Oloron-Sainte-Marie;64400;43,19090988;-0,62026;Le Pastoral - Alysson Hôtel
1 Avenue de L'Industrie;Rebais;77510;48,8506988;3,2394885;La Fontaine Gourmande
51, Rue du Général de Gaulle;Kirchheim;67520;48,60769168;7,494410038;L'Arbre Vert
25 Avenue de Villeneuve Saint-Georges;Choisy-le-Roi;94600;48,7652265;2,4158522;Le Phare de Seine
17 Rue Barbès;Ivry-sur-Seine;94200;48,817335;2,3726315;La Ptite Maison
6 Allée Megevie;Gradignan;33170;44,7743765;-0,6406578;La Villa Bersol
29, route de Banyuls;Portvendres;66660;42,51301226;3,109479904;Le Cèdre
3, rue Raymond Grimaud;Blagnac;31700;43,63851569;1,375249982;La Baie d'Halong
11, Rue de la Devise;Bordeaux;33000;44,83995;-0,57105;L'Encoche
48 Rue Monsieur le Prince;Paris;75006;48,8483842;2,3401478;Les Domaines Qui Montent
66 Rue de Bonnel;Lyon;69003;45,7618005;4,8499478;Le Bistrot Bonnel
62, rue Pergolèse;Paris;75016;48,87325873;2,281069994;Pergo Café
18, rue du Faubourg-de-Saverne;Strasbourg;67000;48,58566955;7,740019798;Pho Kim Saigon
1 Rue Jean Bologne;Paris;75016;48,8565178;2,2798283;Le Bistrot des Vignes
Col de l'Encrenaz;"La Côte-d'Arbroz";74110;46,171496;6,630082;Alt.1490 Exclusif
10, rue Rougemont;Paris;75009;48,87181;2,34607;Nero & Rosso
1 Rue Legrand;Malakoff;92240;48,824223;2,303989;Par faim de saveurs
8, boulevard du Maréchal Joffre;Rueil-Malmaison;92500;48,87944311;2,183310032;Toyama
13 Rue Royale;Annecy;74000;45,8998434;6,1229439;Semper Fi
4 Chemin des Pierres de Moulin;Le Rouret;06650;43,6749743;7,0059825;Bottle Cafe
9 Rue de Crussol;Paris;75011;48,8642012;2,3675916;Cellar
123 Rue Oberkampf;Paris;75011;48,8661874;2,3790752;VegArt
42 Rue des Acacias;Paris;75017;48,8772097;2,2927457;Zoé à Beyrouth
64 rue de Gand;Lille;59000;50,64294873;3,06795001;La Crêperie de Lille
484 Avenue de la République;La Roquette-sur-Siagne;06550;43,577756;6,9508028;L'Intemporelle
Ferme auberge de treh, markstein;Kruth;68820;47,9308819;6,965551;Ferme Auberge du Treh
6 Rue de la Salle;Saint-Germain-en-Laye;78100;48,8970185;2,0929999;La Rôtisserie du Château
10 Rue Chef de ville;La Rochelle;17000;46,1583808;-1,1543659;L atelier des cousins
"34 Route de Port d'Alon";Saint-Cyr-sur-Mer;83270;43,1658573;5,7151488;Le latino
125 Route du Verdon;Arsac;33460;44,9824734;-0,7393491;Clos d'Arsac
15 Rue de Wattignies;Paris;75012;48,8367008;2,393377;Le Cèdre Oriental
65 Avenue Paul Vaillant Couturier;Arcueil;94110;48,7992535;2,3450453;L' Arena
85 Rue de la Monnaie;Lille;59800;50,6416246;3,0616772;Red Coffee Bar
99 Avenue de Stalingrad;Arles;13200;43,6906596;4,6372625;chez maely
1 Rue de Billancourt;Boulogne-Billancourt;92100;48,8445392;2,234618;Tant qu'il y aura des Bretons
29, bd Kennedy;Cagnes-sur-Mer;06800;43,65124957;7,152029991;Fleur de lotus
18, Grande Rue;Marly-le-Roi;78160;48,86662;2,09488;L'Ardoise
6 Rue de la Sourdière;Paris;75001;48,8653678;2,3318549;Jin
95 Boulevard Longchamp;Marseille;13001;43,3028625;5,3907531;Pouce
ZAC les Terrages;Viry-Noureuil;02300;49,639016;3,252398;La Boucherie Viry
