address;city;postal_code;gps_lat;gps_long
Boulevard des Pâtureaux;Sainte-Luce-sur-Loire;44300;47,2622149;-1,4936776
6 allée Duquesne;Nantes;44000;0;0
Allée Duquesne, Nantes, France;Nantes;44000;47,2177755;-1,5568928
2, rue d'Alger;Nantes;44100;47,21092;-1,56599
13 Rue Kervégan;Nantes;44000;47,2127161;-1,5555351
87 Quai de la Fosse;Nantes;44100;0;0
11 Rue de la Clavurerie;Nantes;44000;47,2157039;-1,557046
14 cours sully;Nantes;44000;47,2228216;-1,5513682
34 Rue Léon Jamin;Nantes;44000;47,2195409;-1,5590194
10, rue de la Juiverie;Nantes;44000;47,21566;-1,55305
147 Boulevard Robert Schuman, Nantes, France;Nantes;44300;47,2407784;-1,5729489
12 Quai Henri Barbusse, Nantes, France;Nantes;44000;0;0
1 Quai Turenne, Nantes, France;Nantes;44000;47,2133822;-1,5531736
15 Allée des Tanneurs, Nantes, France;Nantes;44000;47,2203387;-1,5554917
41 Rue Bougainville, Nantes, France;Nantes;44100;0;0
57 Boulevard Gabriel Lauriol;Nantes;44300;47,2393278;-1,5616466
42 Rue de la ville en Bois, Nantes, France;Nantes;44100;0;0
42 Rue de la ville en Bois, Nantes, France;Nantes;44100;0;0
42 Rue de la ville en Bois;Nantes;44100;47,2130481;-1,5771951
1 Rue Kervégan;Nantes;44000;47,2134814;-1,5539697
15 Rue des Hauts Pavés;Nantes;44000;47,2226646;-1,5633092
24 Rue Paul Bellamy;Nantes;44000;47,2222365;-1,5561625
2 Place de la Bourse;Nantes;44000;47,213143;-1,5598452
13 Rue Beauregard;Nantes;44000;47,2148805;-1,5552101
8 Rue Saint-Léonard;Nantes;44000;0;0
17 Rue de Bel air;Nantes;44000;47,2214973;-1,5594371
1 Rue de Coulmiers;Nantes;44000;47,219616;-1,5344977
4 Place Graslin;Nantes;44000;0;0
1, rue Olympe de Gouges;Nantes;44200;47,2081841;-1,56066
1, rue Lefèvre Utile;Nantes;44000;47,2141199;-1,5446205
13 Rue Beauregard;Nantes;44000;47,2148805;-1,5552101
67 Route de Sainte-Luce;Nantes;44300;0;0
44 Rue des Dervallières;Nantes;44000;47,2226387;-1,5802855
47 Chaussée de la Madeleine;Nantes;44000;47,209283;-1,5500636
18 Rue de Briord;Nantes;44000;0;0
20 Rue Kervégan;Nantes;44000;47,2130494;-1,5555827
Rue Rosa Parks;Nantes;44000;0;0
10 Rue Franklin;Nantes;44000;47,2142547;-1,5631136
26 Rue Louis Blanc;Nantes;44200;47,2058377;-1,5549355
1 bis Rue Kervégan;Nantes;44000;47,2135023;-1,5539002
40 Rue Fouré;Nantes;44000;0;0
3 Rue Racine;Nantes;44000;47,213392;-1,5631415
21 Rue des Bourderies;Nantes;44100;47,2063364;-1,5961276
4 Place de la Bourse;Nantes;44000;47,2128349;-1,5592319
12 Rue Grande Biesse;Nantes;44200;47,206524;-1,549176
6 Rue Saint-Nicolas;Nantes;44000;47,2152096;-1,557149
3 Rue la Tour d'Auvergne;Nantes;44200;47,2066063;-1,5527469
34 Boulevard de la Liberté;Nantes;44100;47,1997134;-1,5890143
16 Quai de Versailles;Nantes;44000;47,2230029;-1,5535773
10 Rue Armand Brossard;Nantes;44000;47,2169764;-1,5561456
18 Rue de Briord;Nantes;44000;47,2171508;-1,5531383
151 Route de Saint-Joseph;Nantes;44300;47,2411145;-1,5356483
2 Rue de la Baclerie;Nantes;44000;47,2150062;-1,5529809
Rue Gaëtan Rondeau;Nantes;44200;47,2066435;-1,5340163
4 rue des 2 ponts;Nantes;44000;47,2168905;-1,5469647
32 Rue des Hauts Pavés;Nantes;44000;47,2236943;-1,5638953
8 Rue Cacault;Nantes;44000;47,2164836;-1,5577727
7 Allée Duquesne;Nantes;44000;47,2176764;-1,5566799
13 Rue Kervégan;Nantes;44000;47,2127161;-1,5555351
16 Rue de la Juiverie;Nantes;44000;47,2155978;-1,5532833
104 Route de Clisson;Nantes;44200;47,1897072;-1,5196173
