address;city;postal_code;gps_lat;gps_long;name
2 rue bachaumont;Paris;75002;0;0;gberthet cpte pro
7 Rue de l'Isly;Paris;75008;48,8746494;2,3257154;Kenavo Bar
Iusto eius pariatur Alias voluptas quas dolor voluptatem Quia iste molestias officiis culpa tempor;Paris;75002;0;0;Lawrence Britt
23, rue Guillaume Tell;Paris;75017;0;0;L'accolade
70 Rue Saint-Lazare;Paris;75009;48,8762148;2,3306028;le-xavier
223 Rue Saint-Martin;Paris;75003;48,8643824;2,3529368;Le Cartel
25 Place de la Bourse;Paris;75002;48,8694573;2,3389804;Spoon
35 Rue Lepic;Paris;75018;48,8862649;2,3338944;Les Fines Lames
25 Rue Louis Blanc;Paris;75010;48,8800668;2,3666268;Roast Paris
1, rue Jean Bologne;Paris;75016;48,85635255;2,279759884;Bistrot des Vignes 16ème
48 Rue de Berri;Paris;75008;48,8746672;2,3082754;Truffes Folies 8ème
Rue Notre Dame des Champs;Paris;75006;0;0;La Bodega Russe
53 Boulevard Saint-Martin;Paris;75003;48,8688034;2,3560105;Le Marigny
18 bis rue pierre demours;Paris;75017;0;0;Les Voiles
35, rue de Verneuil;Paris;75007;48,85812951;2,328649998;35° Ouest
150 Boulevard du Montparnasse;Paris;75014;0;0;Couscous online
27, boulevard Garibaldi;Paris;75015;48,84707519;2,304800034;Ikura
94 rue du faubourg Saint Denis;Paris;75010;0;0;Le virage café
23, rue des Vertus;Paris;75003;48,86470974;2,358089924;Thaï Nam
2 Rue du Faubourg Saint-Martin, Ou 96 Rue René boulanger, 75010 Paris, France;Paris;75010;48,869265;2,3559948;L'Appartement Saint-Martin
10 Rue Bleue;Paris;75009;48,8759449;2,3468575;BAN ALOY
2 bis, avenue Gordon Bennett;Paris;75016;48,84793;2,25124;Le Roland Garros
60, rue Didot;Paris;75014;48,8297;2,31799;Les Artistes
43 Rue des cinq Diamants;Paris;75013;48,8281143;2,3500737;O Fajitas Bar
7 Rue de Reuilly;Paris;75012;48,8494765;2,385278;L´Aigle
144 Avenue Jean Jaurès;Paris;75019;0;0;L'ETOILE
70, rue Daguerre;Paris;75014;48,83542;2,32607;La Baraka
2, rue Maleville;Paris;75008;48,87740348;2,314879894;Le Sassolini
48 rue lepic;Paris;75009;0;0;Damien
18 Avenue Bosquet;Paris;75007;48,8585672;2,3033269;Le Campanella
15, rue d'Aboukir;Paris;75002;48,86641865;2,342900038;Citronnelle & Galanga
64, rue Cantagrel;Paris;75013;48,82759366;2,371799946;La Petite Casserole
42 Rue Mazarine;Paris;75006;48,8552896;2,3377282;La Pergola
19 Chaussée de la Muette;Paris;75016;48,8581621;2,2723206;La Gare
8, rue Saint-Marc;Paris;75002;48,8703005;2,341919899;Village de Meisi
40, rue Vieille-du-Temple;Paris;75004;48,85786598;2,357850075;Okawa
55 Rue du Cherche-Midi;Paris;75006;48,8486142;2,3250676;Sauvage
7, rue de la Feuillade;Paris;75001;48,86602468;2,339819908;Le Régent
40, rue Notre-Dame des Victoires;Paris;75002;48,86898317;2,342279911;Gallopin
25 rue de la belle demeure;Paris;75001;0;0;Chez toto
46 bd du temple;Paris;75011;0;0;EL MÏDA
22 Rue Desnouettes;Paris;75015;48,836187;2,2912241;restaurant biscotte
29, rue Vineuse;Paris;75016;48,86023518;2,28441;Le Petit Daru
73, avenue Niel;Paris;75017;48,8824;2,29612;Aux Saveurs Du Marché
71, avenue Paul Doumer;Paris;75016;48,85957764;2,278569937;La Marée Passy
13 Rue d'Alger;Paris;75001;48,8655722;2,3298378;Le Saint Ô
2 rue du sentier;Paris;75002;0;0;Chez Quentin R
"6 Rue de l'Amiral de Coligny";Paris;75001;48,8606602;2,3410368;Le Fumoir
15 rue DAVAL;Paris;75011;0;0;pakito
102 Avenue des Ternes;Paris;75017;48,8807083;2,2862336;Le Bistrô
4 Rue de Sévigné;Paris;75004;48,8552389;2,3619114;Cidrerie du Marais
25 Avenue du Bel air;Paris;75012;48,8469144;2,3967214;Le 12ème Cru
12, avenue George V;Paris;75008;48,86595944;2,301569939;Cantina Di Luca George V
